threshold,CPR,IDR
0.01,0.009578544061302681,0.9908186687069626
0.02,0.022988505747126436,0.9862280030604438
0.03,0.0421455938697318,0.9686304514154552
0.04,0.03639846743295019,0.9556235654169855
0.05,0.04597701149425287,0.9563886763580719
0.06,0.09003831417624521,0.9441469013006886
0.07,0.05938697318007663,0.9265493496557001
0.08,0.0842911877394636,0.9112471308339709
0.09,0.08812260536398467,0.9234889058913542
0.1,0.08045977011494253,0.9058913542463657
0.11,0.10727969348659004,0.9112471308339709
0.12,0.10727969348659004,0.8775822494261668
0.13,0.14942528735632185,0.8768171384850804
0.14,0.15517241379310345,0.8638102524866106
0.15,0.13218390804597702,0.8385615914307575
0.16,0.15517241379310345,0.8286151491966335
0.17,0.1724137931034483,0.8240244835501148
0.18,0.18007662835249041,0.827850038255547
0.19,0.19540229885057472,0.8255547054322877
0.2,0.2413793103448276,0.8018362662586075
0.21,0.22030651340996169,0.7888293802601377
0.22,0.22030651340996169,0.7949502677888294
0.23,0.2222222222222222,0.7758224942616679
0.24,0.2509578544061303,0.7482785003825555
0.25,0.27011494252873564,0.739097169089518
0.26,0.2681992337164751,0.7276205049732212
0.27,0.2720306513409962,0.7375669472073451
0.28,0.27011494252873564,0.730680948737567
0.29,0.2796934865900383,0.7069625095638867
0.3,0.3007662835249042,0.6908951798010712
0.31,0.3371647509578544,0.6885998469778117
0.32,0.3544061302681992,0.6748278500382555
0.33,0.32950191570881227,0.685539403213466
0.34,0.3486590038314176,0.6740627390971691
0.35000000000000003,0.35823754789272033,0.6648814078041316
0.36,0.37547892720306514,0.6641162968630452
0.37,0.4061302681992337,0.6235654169854629
0.38,0.342911877394636,0.6174445294567712
0.39,0.40804597701149425,0.612088752869166
0.4,0.41762452107279696,0.6029074215761285
0.41000000000000003,0.41954022988505746,0.5524100994644223
0.42,0.38697318007662834,0.5799540933435348
0.43,0.4559386973180077,0.5623565416985463
0.44,0.4386973180076628,0.5715378729915838
0.45,0.4444444444444444,0.550114766641163
0.46,0.46360153256704983,0.5570007651109411
0.47000000000000003,0.48084291187739464,0.5149196633511859
0.48,0.45977011494252873,0.5080336648814078
0.49,0.5,0.5279265493496557
0.5,0.5134099616858238,0.5087987758224942
0.51,0.5134099616858238,0.48355011476664117
0.52,0.5421455938697318,0.4567712318286152
0.53,0.5344827586206896,0.46442234123947973
0.54,0.5287356321839081,0.4468247895944912
0.55,0.5191570881226054,0.4299923488905891
0.56,0.5670498084291188,0.4299923488905891
0.5700000000000001,0.5613026819923371,0.43152257077276207
0.58,0.5440613026819924,0.42616679418515685
0.59,0.6091954022988506,0.41239479724560063
0.6,0.5881226053639846,0.38255547054322875
0.61,0.6168582375478927,0.38485080336648814
0.62,0.5977011494252874,0.37413925019127775
0.63,0.6360153256704981,0.3565416985462892
0.64,0.632183908045977,0.3641928079571538
0.65,0.6819923371647509,0.3565416985462892
0.66,0.6417624521072797,0.3496557000765111
0.67,0.6590038314176245,0.32364192807957154
0.68,0.6839080459770115,0.3045141545524101
0.6900000000000001,0.7126436781609196,0.30527926549349654
0.7000000000000001,0.7088122605363985,0.2869166029074216
0.71,0.735632183908046,0.26778882938026016
0.72,0.7222222222222222,0.2823259372609028
0.73,0.6992337164750958,0.28003060443764344
0.74,0.7452107279693486,0.2593726090283091
0.75,0.735632183908046,0.26396327467482783
0.76,0.7931034482758621,0.2486610558530987
0.77,0.764367816091954,0.234123947972456
0.78,0.7758620689655172,0.2433052792654935
0.79,0.7796934865900383,0.22035195103289976
0.8,0.7873563218390804,0.1928079571537873
0.81,0.8314176245210728,0.19127773527161437
0.8200000000000001,0.7873563218390804,0.18133129303749043
0.8300000000000001,0.8275862068965517,0.17980107115531752
0.84,0.842911877394636,0.16679418515684774
0.85,0.8582375478927203,0.13006885998469778
0.86,0.8735632183908046,0.14154552410099464
0.87,0.8716475095785441,0.11782708492731446
0.88,0.8735632183908046,0.12930374904361133
0.89,0.9003831417624522,0.11782708492731446
0.9,0.9061302681992337,0.09640397857689365
0.91,0.8697318007662835,0.10558530986993114
0.92,0.8984674329501916,0.0811017597551645
0.93,0.9444444444444444,0.07268553940321347
0.9400000000000001,0.9425287356321839,0.06197398622800306
0.9500000000000001,0.9425287356321839,0.04820198928844682
0.96,0.946360153256705,0.03978576893649579
0.97,0.9655172413793104,0.026778882938026015
0.98,0.9808429118773946,0.016832440703902066
0.99,0.9923371647509579,0.006885998469778117
1.0,1.0,0.0
