threshold,CPR,IDR
0.01,0.05938697318007663,0.9946442234123948
0.02,0.05938697318007663,0.9946442234123948
0.03,0.05938697318007663,0.9946442234123948
0.04,0.05938697318007663,0.9938791124713083
0.05,0.06704980842911877,0.9938791124713083
0.06,0.07662835249042145,0.9938791124713083
0.07,0.0842911877394636,0.9938791124713083
0.08,0.09195402298850575,0.9938791124713083
0.09,0.10153256704980843,0.9908186687069626
0.1,0.10727969348659004,0.9739862280030605
0.11,0.16666666666666666,0.9625095638867636
0.12,0.16283524904214558,0.9663351185921959
0.13,0.1475095785440613,0.9686304514154552
0.14,0.18773946360153257,0.9640397857689365
0.15,0.19540229885057472,0.9579188982402448
0.16,0.20306513409961685,0.9594491201224178
0.17,0.2164750957854406,0.9563886763580719
0.18,0.2260536398467433,0.9525631216526397
0.19,0.23563218390804597,0.9556235654169855
0.2,0.20689655172413793,0.9563886763580719
0.21,0.22796934865900384,0.9556235654169855
0.22,0.23563218390804597,0.9540933435348126
0.23,0.25287356321839083,0.9525631216526397
0.24,0.23180076628352492,0.9380260137719969
0.25,0.22988505747126436,0.9395562356541699
0.26,0.24329501915708812,0.9158377964804897
0.27,0.25862068965517243,0.8974751338944147
0.28,0.23563218390804597,0.8691660290742158
0.29,0.23563218390804597,0.8668706962509564
0.3,0.2796934865900383,0.8079571537872992
0.31,0.23371647509578544,0.8775822494261668
0.32,0.2835249042145594,0.8309104820198929
0.33,0.28544061302681994,0.836266258607498
0.34,0.29693486590038315,0.8133129303749044
0.35000000000000003,0.2988505747126437,0.8117827084927315
0.36,0.3314176245210728,0.7421576128538638
0.37,0.3390804597701149,0.7888293802601377
0.38,0.3620689655172414,0.7605202754399388
0.39,0.44061302681992337,0.7169089517980107
0.4,0.42528735632183906,0.720734506503443
0.41000000000000003,0.39655172413793105,0.7597551644988524
0.42,0.4616858237547893,0.7299158377964805
0.43,0.38122605363984674,0.7689364957918898
0.44,0.3946360153256705,0.7398622800306044
0.45,0.48084291187739464,0.7138485080336648
0.46,0.49233716475095785,0.7467482785003825
0.47000000000000003,0.4904214559386973,0.7467482785003825
0.48,0.5306513409961686,0.7146136189747513
0.49,0.5057471264367817,0.6962509563886764
0.5,0.5210727969348659,0.7077276205049732
0.51,0.4731800766283525,0.7069625095638867
0.52,0.5613026819923371,0.6954858454475898
0.53,0.5383141762452107,0.6993114001530222
0.54,0.5689655172413793,0.7268553940321346
0.55,0.5823754789272031,0.6778882938026014
0.56,0.553639846743295,0.7023718439173681
0.5700000000000001,0.6053639846743295,0.6778882938026014
0.58,0.6111111111111112,0.6748278500382555
0.59,0.5593869731800766,0.6817138485080336
0.6,0.5689655172413793,0.6694720734506503
0.61,0.6187739463601533,0.6434583014537107
0.62,0.6609195402298851,0.6029074215761285
0.63,0.6551724137931034,0.5814843152257078
0.64,0.6628352490421456,0.5998469778117828
0.65,0.6647509578544061,0.6029074215761285
0.66,0.5881226053639846,0.5975516449885233
0.67,0.603448275862069,0.5692425401683244
0.68,0.6302681992337165,0.5302218821729151
0.6900000000000001,0.5977011494252874,0.5524100994644223
0.7000000000000001,0.6398467432950191,0.6113236419280795
0.71,0.5670498084291188,0.5677123182861515
0.72,0.632183908045977,0.5554705432287682
0.73,0.6302681992337165,0.5646518745218057
0.74,0.6839080459770115,0.5302218821729151
0.75,0.6915708812260536,0.5225707727620506
0.76,0.6992337164750958,0.5141545524100994
0.77,0.6992337164750958,0.5011476664116297
0.78,0.7911877394636015,0.4345830145371079
0.79,0.8045977011494253,0.39709257842387147
0.8,0.7490421455938697,0.48508033664881406
0.81,0.7490421455938697,0.4904361132364193
0.8200000000000001,0.7547892720306514,0.46748278500382556
0.8300000000000001,0.7681992337164751,0.43305279265493496
0.84,0.7624521072796935,0.43687834736036724
0.85,0.7835249042145593,0.39862280030604436
0.86,0.8007662835249042,0.43764345830145374
0.87,0.8199233716475096,0.404743687834736
0.88,0.8314176245210728,0.38102524866105586
0.89,0.8544061302681992,0.35118592195868403
0.9,0.9022988505747126,0.34506503442999237
0.91,0.9099616858237548,0.324407039020658
0.92,0.9118773946360154,0.342769701606733
0.93,0.9042145593869731,0.3190512624330528
0.9400000000000001,0.9272030651340997,0.23871461361897475
0.9500000000000001,0.9329501915708812,0.23794950267788828
0.96,0.9482758620689655,0.19892884468247896
0.97,0.9482758620689655,0.17214996174445293
0.98,0.9482758620689655,0.17903596021423107
0.99,0.9674329501915708,0.1423106350420811
1.0,0.6494252873563219,0.4560061208875287
