threshold,CPR,IDR
0.01,0.0,1.0
0.02,0.0,1.0
0.03,0.0,1.0
0.04,0.0,1.0
0.05,0.0019157088122605363,0.9992348890589136
0.06,0.0019157088122605363,0.9992348890589136
0.07,0.0019157088122605363,0.9992348890589136
0.08,0.0019157088122605363,0.9984697781178271
0.09,0.0038314176245210726,0.9977046671767407
0.1,0.007662835249042145,0.9961744452945677
0.11,0.007662835249042145,0.9946442234123948
0.12,0.007662835249042145,0.9938791124713083
0.13,0.007662835249042145,0.9923488905891354
0.14,0.009578544061302681,0.991583779648049
0.15,0.009578544061302681,0.990053557765876
0.16,0.009578544061302681,0.990053557765876
0.17,0.01532567049808429,0.990053557765876
0.18,0.019157088122605363,0.9877582249426167
0.19,0.032567049808429116,0.9854628921193573
0.2,0.032567049808429116,0.9846977811782709
0.21,0.032567049808429116,0.9839326702371843
0.22,0.03639846743295019,0.9839326702371843
0.23,0.03639846743295019,0.9831675592960979
0.24,0.038314176245210725,0.981637337413925
0.25,0.038314176245210725,0.981637337413925
0.26,0.044061302681992334,0.9770466717674062
0.27,0.044061302681992334,0.9770466717674062
0.28,0.04597701149425287,0.9762815608263198
0.29,0.04789272030651341,0.9755164498852333
0.3,0.05747126436781609,0.9739862280030605
0.31,0.05938697318007663,0.973221117061974
0.32,0.06130268199233716,0.9724560061208876
0.33,0.06321839080459771,0.9724560061208876
0.34,0.06896551724137931,0.9724560061208876
0.35,0.07471264367816093,0.9716908951798011
0.36,0.07471264367816093,0.9701606732976281
0.37,0.07662835249042145,0.9671002295332823
0.38,0.08045977011494253,0.9655700076511095
0.39,0.08045977011494253,0.9655700076511095
0.4,0.0842911877394636,0.9655700076511095
0.41,0.09195402298850575,0.9640397857689365
0.42,0.09195402298850575,0.9625095638867636
0.43,0.09770114942528736,0.9602142310635042
0.44,0.10153256704980843,0.9586840091813313
0.45,0.11302681992337164,0.954858454475899
0.46,0.11877394636015326,0.954858454475899
0.47,0.1206896551724138,0.9540933435348126
0.48,0.12260536398467432,0.9517980107115531
0.49,0.12452107279693486,0.9502677888293802
0.5,0.12643678160919541,0.9495026778882938
0.51,0.13409961685823754,0.9426166794185157
0.52,0.13984674329501914,0.9395562356541699
0.53,0.1417624521072797,0.9387911247130833
0.54,0.14367816091954022,0.9326702371843917
0.55,0.14559386973180077,0.9257842387146136
0.56,0.14559386973180077,0.9250191277735271
0.57,0.1475095785440613,0.9234889058913542
0.58,0.1475095785440613,0.9219586840091814
0.59,0.1475095785440613,0.9219586840091814
0.6,0.1475095785440613,0.9211935730680949
0.61,0.14942528735632185,0.9211935730680949
0.62,0.14942528735632185,0.9196633511859219
0.63,0.14942528735632185,0.9188982402448355
0.64,0.15134099616858238,0.9173680183626626
0.65,0.15134099616858238,0.9158377964804897
0.78,0.9616858237547893,0.026778882938026015
0.79,0.9636015325670498,0.0252486610558531
0.8,0.9655172413793104,0.02448355011476664
0.81,0.9674329501915708,0.023718439173680182
0.82,0.9731800766283525,0.02218821729150727
0.83,0.9731800766283525,0.02142310635042081
0.84,0.9808429118773946,0.020657995409334353
0.85,0.9827586206896551,0.020657995409334353
0.86,0.9827586206896551,0.019892884468247895
0.87,0.9827586206896551,0.018362662586074982
0.88,0.9846743295019157,0.018362662586074982
0.89,0.9846743295019157,0.013771996939556235
0.9,0.9865900383141762,0.013771996939556235
0.91,0.9885057471264368,0.013006885998469778
0.92,0.9885057471264368,0.013006885998469778
0.93,0.9885057471264368,0.010711553175210406
0.94,0.9885057471264368,0.009181331293037491
0.95,0.9885057471264368,0.009181331293037491
0.96,0.9885057471264368,0.006885998469778117
0.97,0.9942528735632183,0.006885998469778117
0.98,0.9942528735632183,0.00612088752869166
0.99,0.9961685823754789,0.0022953328232593728
1.0,0.9980842911877394,0.0022953328232593728
