threshold,CPR,IDR
0.01,0.0038314176245210726,0.9992348890589136
0.02,0.005747126436781609,0.9984697781178271
0.03,0.013409961685823755,0.9977046671767407
0.04,0.02490421455938697,0.9954093343534812
0.05,0.032567049808429116,0.9923488905891354
0.06,0.03639846743295019,0.9869931140015302
0.07,0.044061302681992334,0.9862280030604438
0.08,0.05555555555555555,0.9824024483550114
0.09,0.07088122605363985,0.9755164498852333
0.1,0.08237547892720307,0.9739862280030605
0.11,0.09195402298850575,0.9686304514154552
0.12,0.09578544061302682,0.964804896710023
0.13,0.09961685823754789,0.9602142310635042
0.14,0.1053639846743295,0.9563886763580719
0.15,0.1111111111111111,0.9563886763580719
0.16,0.11494252873563218,0.9533282325937261
0.17,0.12452107279693486,0.946442234123948
0.18,0.12643678160919541,0.9410864575363428
0.19,0.1360153256704981,0.9357306809487376
0.2,0.13984674329501914,0.928079571537873
0.21,0.15134099616858238,0.9211935730680949
0.22,0.15900383141762453,0.9150726855394032
0.23,0.16091954022988506,0.9089517980107116
0.24,0.17049808429118773,0.8967100229533282
0.25,0.19157088122605365,0.8928844682478959
0.26,0.2049808429118774,0.8844682478959449
0.27,0.22030651340996169,0.8783473603672532
0.28,0.2260536398467433,0.8699311400153023
0.29,0.23946360153256704,0.8630451415455241
0.3,0.24329501915708812,0.8576893649579189
0.31,0.24904214559386972,0.8500382555470544
0.32,0.2509578544061303,0.846212700841622
0.33,0.26053639846743293,0.8431522570772763
0.34,0.2720306513409962,0.8385615914307575
0.35,0.2835249042145594,0.8339709257842387
0.36,0.29118773946360155,0.8263198163733741
0.37,0.3007662835249042,0.8217291507268554
0.38,0.3045977011494253,0.8140780413159908
0.39,0.30842911877394635,0.8087222647283856
0.4,0.3160919540229885,0.8018362662586075
0.41,0.32567049808429116,0.7903596021423106
0.42,0.3275862068965517,0.7819433817903596
0.43,0.3371647509578544,0.774292272379495
0.44,0.342911877394636,0.7666411629686305
0.45,0.3486590038314176,0.7628156082631982
0.46,0.3544061302681992,0.75592960979342
0.47,0.36398467432950193,0.749043611323642
0.48,0.36590038314176243,0.7413925019127774
0.49,0.367816091954023,0.7345065034429993
0.5,0.3716475095785441,0.7276205049732212
0.51,0.3888888888888889,0.7230298393267024
0.52,0.39272030651340994,0.7192042846212701
0.53,0.3946360153256705,0.7084927314460597
0.54,0.39655172413793105,0.7000765110941086
0.55,0.4061302681992337,0.6931905126243305
0.56,0.41379310344827586,0.6847742922723795
0.57,0.4272030651340996,0.6732976281560826
0.58,0.4444444444444444,0.6633511859219586
0.59,0.4540229885057471,0.6579954093343535
0.6,0.45977011494252873,0.6457536342769702
0.61,0.4674329501915709,0.6388676358071921
0.62,0.4731800766283525,0.6266258607498087
0.63,0.48084291187739464,0.6205049732211171
0.64,0.48659003831417624,0.6074980872226473
0.65,0.49233716475095785,0.5983167559296098
0.66,0.5038314176245211,0.5876052027543994
0.67,0.5153256704980843,0.5776587605202754
0.68,0.524904214559387,0.5730680948737567
0.69,0.524904214559387,0.5638867635807192
0.7,0.5306513409961686,0.5577658760520275
0.71,0.5383141762452107,0.5439938791124713
0.72,0.5517241379310345,0.531752104055088
0.73,0.5555555555555556,0.523335883703137
0.74,0.5632183908045977,0.5149196633511859
0.75,0.5766283524904214,0.5065034429992349
0.76,0.5766283524904214,0.4934965570007651
0.77,0.5862068965517241,0.4843152257077276
0.78,0.5900383141762452,0.4720734506503443
0.79,0.5919540229885057,0.46059678653404745
0.8,0.6015325670498084,0.4483550114766641
0.81,0.6111111111111112,0.43687834736036724
0.82,0.6245210727969349,0.4299923488905891
0.83,0.6417624521072797,0.41698546289211935
0.84,0.6513409961685823,0.4024483550114767
0.85,0.6628352490421456,0.3909716908951798
0.86,0.6877394636015326,0.3749043611323642
0.87,0.7011494252873564,0.35807192042846214
0.88,0.7183908045977011,0.33970925784238715
0.89,0.7394636015325671,0.324407039020658
0.9,0.7547892720306514,0.3029839326702372
0.91,0.7835249042145593,0.2823259372609028
0.92,0.7988505747126436,0.2631981637337414
0.93,0.8256704980842912,0.23871461361897475
0.94,0.8467432950191571,0.21499617444529456
0.95,0.8659003831417624,0.188982402448355
0.96,0.8754789272030651,0.1514919663351186
0.97,0.9061302681992337,0.10941086457536343
0.98,0.9406130268199234,0.07498087222647284
0.99,0.9712643678160919,0.032134659525631215
1.0,1.0,0.0
