0.0,0(0.0),1307(1.0)
0.01,2(0.0038314176245210726),1303(0.9969395562356542)
0.02,5(0.009578544061302681),1301(0.9954093343534812)
0.03,5(0.009578544061302681),1301(0.9954093343534812)
0.04,8(0.01532567049808429),1297(0.9923488905891354)
0.05,8(0.01532567049808429),1296(0.991583779648049)
0.06,13(0.02490421455938697),1294(0.990053557765876)
0.07,14(0.02681992337164751),1294(0.990053557765876)
0.08,18(0.034482758620689655),1294(0.990053557765876)
0.09,19(0.03639846743295019),1293(0.9892884468247896)
0.1,22(0.0421455938697318),1292(0.9885233358837031)
0.11,26(0.04980842911877394),1290(0.9869931140015302)
0.12,30(0.05747126436781609),1288(0.9854628921193573)
0.13,36(0.06896551724137931),1287(0.9846977811782709)
0.14,36(0.06896551724137931),1284(0.9824024483550114)
0.15,42(0.08045977011494253),1278(0.9778117827084928)
0.16,44(0.0842911877394636),1277(0.9770466717674062)
0.17,46(0.08812260536398467),1276(0.9762815608263198)
0.18,51(0.09770114942528736),1275(0.9755164498852333)
0.19,56(0.10727969348659004),1273(0.9739862280030605)
0.2,59(0.11302681992337164),1251(0.9571537872991583)
0.21,69(0.13218390804597702),1244(0.9517980107115531)
0.22,79(0.15134099616858238),1243(0.9510328997704667)
0.23,91(0.1743295019157088),1229(0.9403213465952563)
0.24,96(0.1839080459770115),1226(0.9380260137719969)
0.25,100(0.19157088122605365),1222(0.9349655700076511)
0.26,105(0.20114942528735633),1217(0.9311400153022188)
0.27,109(0.20881226053639848),1214(0.9288446824789595)
0.28,122(0.23371647509578544),1202(0.9196633511859219)
0.29,129(0.2471264367816092),1199(0.9173680183626626)
0.3,135(0.25862068965517243),1188(0.9089517980107116)
0.31,138(0.26436781609195403),1179(0.9020657995409335)
0.32,143(0.2739463601532567),1171(0.8959449120122418)
0.33,145(0.2777777777777778),1166(0.8921193573068095)
0.34,158(0.30268199233716475),1162(0.8890589135424637)
0.35000000000000003,163(0.31226053639846746),1154(0.882938026013772)
0.36,167(0.31992337164750956),1148(0.8783473603672532)
0.37,169(0.32375478927203066),1134(0.8676358071920428)
0.38,182(0.3486590038314176),1106(0.846212700841622)
0.39,188(0.36015325670498083),1088(0.8324407039020658)
0.4,190(0.36398467432950193),1077(0.8240244835501148)
0.41000000000000003,203(0.3888888888888889),1057(0.8087222647283856)
0.42,208(0.39846743295019155),1050(0.8033664881407804)
0.43,217(0.4157088122605364),1033(0.7903596021423106)
0.44,220(0.421455938697318),1024(0.7834736036725325)
0.45,230(0.44061302681992337),1008(0.7712318286151492)
0.46,234(0.4482758620689655),999(0.764345830145371)
0.47000000000000003,238(0.4559386973180077),980(0.7498087222647284)
0.48,252(0.4827586206896552),958(0.7329762815608263)
0.49,264(0.5057471264367817),952(0.7283856159143076)
0.5,272(0.5210727969348659),939(0.7184391736801836)
0.51,279(0.5344827586206896),918(0.7023718439173681)
0.52,291(0.5574712643678161),909(0.6954858454475898)
0.53,294(0.5632183908045977),899(0.6878347360367253)
0.54,301(0.5766283524904214),884(0.6763580719204285)
0.55,304(0.5823754789272031),853(0.6526396327467483)
0.56,314(0.6015325670498084),842(0.6442234123947972)
0.5700000000000001,324(0.6206896551724138),805(0.6159143075745983)
0.58,327(0.6264367816091954),793(0.6067329762815609)
0.59,329(0.6302681992337165),777(0.5944912012241775)
0.6,336(0.6436781609195402),728(0.5570007651109411)
0.61,340(0.6513409961685823),705(0.5394032134659525)
0.62,343(0.657088122605364),690(0.5279265493496557)
0.63,354(0.6781609195402298),670(0.5126243305279266)
0.64,361(0.6915708812260536),645(0.4934965570007651)
0.65,365(0.6992337164750958),623(0.47666411629686306)
0.66,374(0.7164750957854407),602(0.46059678653404745)
0.67,376(0.7203065134099617),583(0.44605967865340473)
0.68,381(0.7298850574712644),566(0.43305279265493496)
0.6900000000000001,386(0.7394636015325671),532(0.4070390206579954)
0.7000000000000001,390(0.7471264367816092),522(0.39938791124713086)
0.71,396(0.7586206896551724),519(0.39709257842387147)
0.72,400(0.7662835249042146),506(0.3871461361897475)
0.73,412(0.789272030651341),487(0.3726090283091048)
0.74,424(0.8122605363984674),470(0.35960214231063503)
0.75,431(0.8256704980842912),455(0.3481254781943382)
0.76,437(0.8371647509578544),431(0.3297628156082632)
0.77,446(0.8544061302681992),416(0.3182861514919663)
0.78,456(0.8735632183908046),398(0.3045141545524101)
0.79,462(0.8850574712643678),380(0.2907421576128539)
0.8,463(0.8869731800766284),365(0.279265493496557)
0.81,467(0.8946360153256705),345(0.26396327467482783)
0.8200000000000001,473(0.9061302681992337),337(0.25784238714613616)
0.8300000000000001,475(0.9099616858237548),276(0.2111706197398623)
0.84,478(0.9157088122605364),250(0.19127773527161437)
0.85,479(0.9176245210727969),243(0.18592195868400918)
0.86,479(0.9176245210727969),229(0.17521040550879877)
0.87,484(0.9272030651340997),223(0.17061973986228002)
0.88,487(0.9329501915708812),220(0.16832440703902066)
0.89,491(0.9406130268199234),198(0.1514919663351186)
0.9,494(0.946360153256705),184(0.1407804131599082)
0.91,494(0.946360153256705),167(0.12777352716143842)
0.92,496(0.9501915708812261),161(0.12318286151491967)
0.93,497(0.9521072796934866),150(0.11476664116296863)
0.9400000000000001,501(0.9597701149425287),136(0.10405508798775823)
0.9500000000000001,501(0.9597701149425287),130(0.09946442234123948)
0.96,505(0.9674329501915708),129(0.09869931140015302)
0.97,505(0.9674329501915708),112(0.08569242540168324)
0.98,505(0.9674329501915708),102(0.07804131599081866)
0.99,513(0.9827586206896551),91(0.06962509563886764)
